Rank,Team,2023,Last 3,Last 1,Home,Away,2022
1,Baltimore Ravens,16.2,14.7,17,17,15,18.8
2,Kansas City Chiefs,17,18.7,22,15.7,18,22.2
3,Buffalo Bills,18.7,19.3,27,16.2,21.4,19.1
4,San Francisco 49ers,18.8,25.7,25,20.5,17,17.2
5,Tampa Bay Buccaneers,19.2,13.3,31,16.2,21.9,21.6
6,New Orleans Saints,19.2,20,17,18.9,19.6,20.3
7,Las Vegas Raiders,19.5,17,14,15.6,23.9,24.6
8,Pittsburgh Steelers,19.7,21.3,31,19.2,20.2,20.4
9,Dallas Cowboys,20.2,25.7,48,19.4,20.9,19.7
10,New York Jets,20.9,22.7,3,19.6,22.4,18.6
11,Houston Texans,21.1,22.3,34,19.7,22.7,24.7
12,Minnesota Vikings,21.3,31,30,23.3,19.6,25.4
13,Green Bay Packers,21.4,21.7,24,20,22.4,21.8
14,New England Patriots,21.5,22.3,17,22.3,20.9,20.4
15,Tennessee Titans,21.6,22,20,18.8,24.1,21.1
16,Jacksonville Jaguars,21.8,19.3,28,22.4,21.3,21.4
17,Atlanta Falcons,21.9,31.7,48,20.3,23.4,22.7
18,Los Angeles Rams,22.3,23,24,20.4,23.8,22.6
19,Chicago Bears,22.3,16.7,17,19.9,24.4,27.2
20,Cincinnati Bengals,22.6,24.3,14,19.1,26.5,19.6
21,Cleveland Browns,22.6,32,45,13.9,31.3,22.4
22,Miami Dolphins,23.2,34.3,26,17.3,29,24.1
23,Los Angeles Chargers,23.4,17.7,13,23.1,23.8,23.1
24,Seattle Seahawks,23.6,22.3,20,23.9,23.4,24.6
25,Detroit Lions,23.8,26.7,34,21.9,25.6,25.1
26,New York Giants,23.9,23,10,18.6,28.7,22.8
27,Denver Broncos,24.3,20.7,27,19.6,29.6,21.1
28,Indianapolis Colts,24.4,24,23,25.4,23.3,25.1
29,Carolina Panthers,24.5,22.7,9,20.4,28.1,22
30,Philadelphia Eagles,25.6,31.3,32,29.4,22.5,19.8
31,Arizona Cardinals,26.8,26.3,21,29.8,24.1,26.4
32,Washington Commanders,30.5,31.7,38,34,27.3,20.2